tienda,num_tienda,item,num_item
PAIZ ASUNCION,457,Belhaven Best,75437618
PAIZ COBAN,491,Belhaven Best,75437618
PAIZ COLONIA VISTA HERMOS,727,Belhaven Best,75437618
PAIZ EL NARANJO,4087,Belhaven Best,75437618
PAIZ FRAIJANES,4490,Belhaven Best,75437618
PAIZ HUEHUETENANGO,180,Belhaven Best,75437618
PAIZ LIBERACION,4491,Belhaven Best,75437618
PAIZ MONTBLANC,47,Belhaven Best,75437618
PAIZ MONTUFAR,20,Belhaven Best,75437618
PAIZ PETAPA,35,Belhaven Best,75437618
PAIZ PRADERA,108,Belhaven Best,75437618
PAIZ SALIDA AL PACIFICO,458,Belhaven Best,75437618
PAIZ SAN CRISTOBAL,169,Belhaven Best,75437618
PAIZ SAN LUCAS,4317,Belhaven Best,75437618
PAIZ SANTA AMELIA,4173,Belhaven Best,75437618
PAIZ UTATLAN,34,Belhaven Best,75437618
PAIZ VISTA HERMOSA,21,Belhaven Best,75437618
WALMART SAN CRISTóBAL,1054,Belhaven Best,75437618
WM ATANASIO TZUL,4414,Belhaven Best,75437618
WM MIXCO,4116,Belhaven Best,75437618
WM PROCERES,4370,Belhaven Best,75437618
WM PUERTA PARADA,164,Belhaven Best,75437618
WM QUETZALTENANGO PERIFER,1087,Belhaven Best,75437618
WM XELA,460,Belhaven Best,75437618
PAIZ ASUNCION,457,Belhaven Black,75437619
PAIZ CARRETERA A EL SALVA,344,Belhaven Black,75437619
PAIZ CHIQUIMULA PRADERA,4126,Belhaven Black,75437619
PAIZ COBAN,491,Belhaven Black,75437619
PAIZ COLONIA VISTA HERMOS,727,Belhaven Black,75437619
PAIZ EL NARANJO,4087,Belhaven Black,75437619
PAIZ HUEHUETENANGO,180,Belhaven Black,75437619
PAIZ LAS AMERICAS,22,Belhaven Black,75437619
PAIZ LIBERACION,4491,Belhaven Black,75437619
PAIZ MONTBLANC,47,Belhaven Black,75437619
PAIZ MONTUFAR,20,Belhaven Black,75437619
PAIZ PETAPA,35,Belhaven Black,75437619
PAIZ PRADERA,108,Belhaven Black,75437619
PAIZ SALIDA AL PACIFICO,458,Belhaven Black,75437619
PAIZ SAN LUCAS,4317,Belhaven Black,75437619
PAIZ UTATLAN,34,Belhaven Black,75437619
PAIZ VISTA HERMOSA,21,Belhaven Black,75437619
WALMART SAN CRISTóBAL,1054,Belhaven Black,75437619
WM ATANASIO TZUL,4414,Belhaven Black,75437619
WM DEL NORTE,4037,Belhaven Black,75437619
WM MIXCO,4116,Belhaven Black,75437619
WM PROCERES,4370,Belhaven Black,75437619
WM PUERTA PARADA,164,Belhaven Black,75437619
WM QUETZALTENANGO PERIFER,1087,Belhaven Black,75437619
WM XELA,460,Belhaven Black,75437619
PAIZ ASUNCION,457,Belhaven McCallums,75437620
PAIZ CHIQUIMULA PRADERA,4126,Belhaven McCallums,75437620
PAIZ COBAN,491,Belhaven McCallums,75437620
PAIZ COLONIA VISTA HERMOS,727,Belhaven McCallums,75437620
PAIZ FRAIJANES,4490,Belhaven McCallums,75437620
PAIZ HUEHUETENANGO,180,Belhaven McCallums,75437620
PAIZ LAS AMERICAS,22,Belhaven McCallums,75437620
PAIZ LIBERACION,4491,Belhaven McCallums,75437620
PAIZ MONTBLANC,47,Belhaven McCallums,75437620
PAIZ MONTUFAR,20,Belhaven McCallums,75437620
PAIZ PETAPA,35,Belhaven McCallums,75437620
PAIZ PRADERA,108,Belhaven McCallums,75437620
PAIZ SALIDA AL PACIFICO,458,Belhaven McCallums,75437620
PAIZ SANTA AMELIA,4173,Belhaven McCallums,75437620
PAIZ UTATLAN,34,Belhaven McCallums,75437620
PAIZ VISTA HERMOSA,21,Belhaven McCallums,75437620
WALMART SAN CRISTóBAL,1054,Belhaven McCallums,75437620
WM ATANASIO TZUL,4414,Belhaven McCallums,75437620
WM MIXCO,4116,Belhaven McCallums,75437620
WM PUERTA PARADA,164,Belhaven McCallums,75437620
